trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-104.23329453385236,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",30,0,-155.58994617385596,"{0: 14, 1: 4, 2: 9, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-53.812193511680086,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-69.74445001654976,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-94.47375707645581,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-163.4646950217451,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.965}",25,0,-129.0127713863532,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-138.2858331622555,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-88.79308000953539,"{0: 13, 1: 4, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-88.19354200002466,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,11,-20.12426612208564,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-81.59580269429459,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-97.67466830990001,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,6,-85.43085716247683,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",30,15,-70.82012662735556,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-28.64121261104779,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-173.22030020329314,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,8,-80.95618294509123,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,4,-17.649592682797323,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-136.27393314913314,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",30,0,-90.16862365297578,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-135.51873086558544,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-64.70669154556886,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-151.3940900545789,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,0,-68.30198895376945,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-69.11303204986758,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-95.7771537929523,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-183.52466694084922,"{0: 8, 1: 6, 2: 8, 3: 2, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-110.07316015218728,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,8,-21.455389373570714,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",30,0,-176.92678357013395,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,0,-152.69879027146274,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,12,2.0262475323257556,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-23.938675094705374,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-99.14967105499717,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-70.42312146234494,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-19.545840093301532,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,12,5.459738172928494,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,18,-1.6902929699792573,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-54.673888249828664,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",20,0,-77.37443526796545,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-38.14534648064985,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",20,0,-141.9274524744386,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-112.56583707136498,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",30,0,-143.3708549760066,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-32.62902368651234,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",25,11,-23.97212531001986,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-29.938939503983107,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",20,0,-21.25651791632493,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,13,-129.57308035008785,"{0: 12, 1: 2, 2: 4, 3: 3, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",20,0,-4.639161289769632,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,0,-136.93047020061363,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",20,0,-42.372803800551495,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",35,0,-35.47931081343974,"{0: 28, 1: 3, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-8.521354985897936,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",30,19,-27.965736943663796,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,4,-3.65222145522642,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-26.222609556760307,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-186.2816603583084,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,5,-107.72919084771254,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-49.54693370170136,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-108.05779823203929,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-56.208984846363386,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-9.871960422144195,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,3,-37.80974935944425,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-93.66389618480675,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",35,1,-75.45323383259428,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,6,-13.138087956393132,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-26.04361884272443,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-119.14073663433163,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 3}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",35,11,-30.511700280879438,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-62.3352421419433,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,0,-124.42745913857351,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,8,19.865101915489134,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-36.49538044917242,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-89.66263708906102,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-49.507355354211526,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-30.076601813231807,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,1,-56.083473952784004,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-50.86413894782132,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-32.56586900460474,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,0,-83.63634888757827,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-16.501270663528008,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-60.86073108683084,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-64.82578154620029,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-82.08064152815581,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-40.87040240343217,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
