trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.999}",25,0,-182.0982462094329,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.998}",25,0,-97.68442521672557,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.997}",25,0,-139.6284447606563,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.996}",20,0,-57.9400382768114,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.995}",20,0,-53.717843211502064,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.994}",20,0,-75.9968502799019,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.993}",30,0,-74.03658919880269,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.992}",30,0,-141.9829923841524,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.991}",25,13,5.944416218797717,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.8, 'e': 0.99}",20,11,-8.97335685016356,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.989}",30,0,-97.14808916620605,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.988}",20,0,-101.39416895443897,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.987}",20,0,-126.48593148484134,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.986}",20,0,-88.57133148751495,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.985}",20,0,-144.83671845659924,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.8, 'e': 0.984}",20,0,-152.01244378868074,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
17,False,"{'a': 0.8, 'e': 0.983}",30,0,-112.929320774048,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.982}",20,0,-107.80431065759913,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.8, 'e': 0.981}",25,0,-80.85220169375197,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.98}",20,0,-186.45975550614475,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
21,False,"{'a': 0.8, 'e': 0.979}",25,0,-155.59534556912718,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.8, 'e': 0.978}",20,14,-5.395527184493925,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.977}",20,0,-60.52023834031157,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.976}",25,0,-104.00017318558577,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.975}",20,0,-100.24821369801242,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.8, 'e': 0.974}",25,2,-186.32418030905066,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 4}",1
27,False,"{'a': 0.8, 'e': 0.973}",20,0,-96.33374543064377,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
28,False,"{'a': 0.8, 'e': 0.972}",30,0,-161.13512181854983,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
