trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-97.28980247574088,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-168.4542000224254,"{0: 13, 1: 5, 2: 10, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-53.812193511680086,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-105.9270994802968,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-39.71182237374108,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-221.94800438999957,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-74.0872708155218,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.392885911118675,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-111.6806532042294,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-151.3136591687304,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-162.96565042162607,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-127.37652610365448,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,7,-100.47339589761468,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-202.72079168137736,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-157.66815081755183,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-97.12041568229093,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-147.7573709624075,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-117.8984157092872,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-187.43455590461005,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,0,-173.42601149320805,"{0: 24, 1: 4, 2: 3, 3: 1, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-19.317685257374432,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-92.29258947079649,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-81.23130652133595,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-198.58285270494116,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.63907741545583,"{0: 12, 1: 7, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-126.91706244928119,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-90.477542258686,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-91.9751275705319,"{0: 24, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-163.4316681219913,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
